,mean_abs_shap
money__totalBuildingInsuranceCoverage,0.2133808686265012
money__deductible_amount,0.17198243004306885
cat__state_FL,0.10983088675632967
cat__state_TX,0.07344786304081312
num__building_age,0.06493006697789022
cat__state_LA,0.05646113089189738
money__totalContentsInsuranceCoverage,0.05170329512527698
cat__zone_family_X/B/C (moderate-min),0.0510496868190455
cat__basement_cat_1,0.03686355316570764
cat__occupancy_class_single_family,0.03256884049903797
num__elevationDifference,0.028930556677741182
cat__basement_cat_2,0.025950475354379613
num__missingindicator_elevationDifference,0.025846407910316883
money__missingindicator_deductible_amount,0.022899694184527062
cat__occupancy_class_non_residential,0.019557658816425426
cat__basement_cat_missing,0.01775256701678771
cat__elevatedBuildingIndicator_i_0,0.017191683748136614
cat__floors_cat_1,0.01658558615670145
cat__state_MS,0.014943453302748634
num__missingindicator_building_age,0.013074909774343472
cat__elevatedBuildingIndicator_i_1,0.012277833796288424
num__missingindicator_crsClassificationCode,0.011166477892477664
cat__occupancy_class_multi_family,0.010795710332122984
cat__state_NJ,0.008587066400534955
cat__occupancy_class_condo,0.007673776426885259
cat__primaryResidenceIndicator_i_0,0.00750858211463363
cat__zone_family_A (SFHA w/ BFE),0.0073036817362217375
cat__basement_cat_0,0.007227481920210619
cat__state_VA,0.007221886010068158
cat__state_NY,0.006910895019803702
num__crsClassificationCode,0.006592743641472324
cat__postFIRMConstructionIndicator_i_0,0.006432759866346343
cat__postFIRMConstructionIndicator_i_1,0.006127430050969586
cat__primaryResidenceIndicator_i_1,0.005845590460608883
cat__floors_cat_3,0.005415970729402823
cat__state_PR,0.00515642933973352
cat__zone_family_V (velocity),0.004874924283131111
cat__occupancy_class_2to4_family,0.004741078161127774
cat__state_MI,0.004254798365303044
cat__state_CT,0.0035205947774411923
cat__state_IL,0.0033124770653131137
cat__state_NC,0.003243983983728013
cat__occupancy_class_mobile_home,0.0030989051686728386
cat__state_MA,0.0030932600861727035
cat__state_MO,0.002913979673147094
cat__state_DE,0.002510359844050414
cat__state_AL,0.002209476629621094
cat__state_OH,0.00204822984859312
cat__floors_cat_2,0.0019800857501518264
cat__state_SC,0.0019528883832850871
cat__floors_cat_missing,0.0016225812235368608
cat__state_ND,0.00132426182456552
cat__zone_family_A (SFHA no BFE),0.001266679412924249
cat__basement_cat_4,0.0012371884033310727
cat__floors_cat_4,0.00116303485273161
cat__state_MD,0.001123097709631168
cat__state_RI,0.001101962995821947
cat__state_WI,0.0010690312849367931
cat__state_WA,0.0010056916807392718
cat__state_PA,0.0010006971724153132
cat__state_OK,0.0008866773578082131
cat__state_IA,0.0008828120145157291
cat__zone_family_Unknown,0.0008382911095797817
cat__state_GA,0.0006890351518636757
cat__floors_cat_5,0.0006509488924386492
cat__state_TN,0.0006466130827566715
cat__state_NH,0.0006230661509955283
cat__state_ME,0.0005747635143727921
cat__state_MT,0.0005083890324327431
cat__state_MN,0.00033293338550019583
cat__state_AR,0.000323476931346093
cat__state_DC,0.00025680943412579763
cat__state_CA,0.00025240815425002527
cat__state_VT,0.00020781800559895985
cat__state_HI,0.00019857503972734236
cat__state_WV,0.0001920871739470995
cat__state_CO,0.00016680423353011338
cat__state_KY,0.00014262850891976904
cat__state_NM,0.00013950658681957561
cat__state_IN,9.226638164709156e-05
cat__zone_family_D (undetermined),7.230104789139587e-05
cat__state_ID,7.148315724039867e-05
cat__state_WY,3.4263414702323e-05
cat__state_KS,3.098512436920456e-05
cat__floors_cat_6,2.6562448723700786e-05
cat__state_AZ,2.218781613320837e-05
cat__state_VI,2.999003992601605e-06
cat__state_UT,2.2157618805610516e-06
cat__state_SD,1.4232502976933704e-06
money__missingindicator_totalContentsInsuranceCoverage,0.0
cat__state_GU,0.0
cat__state_NE,0.0
cat__state_MP,0.0
cat__occupancy_class_other,0.0
cat__state_AK,0.0
cat__state_AS,0.0
cat__state_NV,0.0
cat__state_OR,0.0
cat__state_UN,0.0
